ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
1,Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a7e4760c/Ismael-Aaneba,https://fbref.com/req/202302030/images/headshots/a7e4760c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ismael_Aaneba.jpg
2,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,33,33,"2,889",32.1,3,0,3,3,0,0,4,1,0.09,0.0,0.09,0.09,0.09,Matches,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,https://fbref.com/req/202302030/images/headshots/32c2d95f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yunis_Abdelhamid.jpg
3,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,18,15,"1,320",14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a4c3f7af/Mehdi-Abeid,https://fbref.com/req/202302030/images/headshots/a4c3f7af_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mehdi_Abeid.jpg
4,Laurent Abergel,fr FRA,MF,Lorient,27,1993,38,32,"2,963",32.9,3,1,4,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,Matches,https://fbref.com/en/players/31626657/Laurent-Abergel,https://fbref.com/req/202302030/images/headshots/31626657_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Laurent_Abergel.jpg
5,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,0.3,0.2,0.49,0.3,0.49,Matches,https://fbref.com/en/players/469d3d84/Charles-Abi,https://fbref.com/req/202302030/images/headshots/469d3d84_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Charles_Abi.jpg
6,Matthis Abline,fr FRA,FW,Rennes,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,https://fbref.com/req/202302030/images/headshots/0e46fa2f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Matthis_Abline.jpg
7,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,24,1995,14,14,"1,260",14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8bc373ea/Pape-Abou-Cisse,https://fbref.com/req/202302030/images/headshots/8bc373ea_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pape_Abou_Cissé.jpg
8,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,35,25,"2,418",26.9,2,5,7,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,Matches,https://fbref.com/en/players/26777636/Yacine-Adli,https://fbref.com/req/202302030/images/headshots/26777636_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yacine_Adli.jpg
9,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35,35,"3,147",35.0,3,1,4,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,Matches,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,https://fbref.com/req/202302030/images/headshots/288e1e13_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nayef_Aguerd.jpg
10,Ruben Aguilar,fr FRA,"DF,MF",Monaco,27,1993,33,27,"2,225",24.7,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,https://fbref.com/req/202302030/images/headshots/3dd738a1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ruben_Aguilar.jpg
