Player,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Position
Brenden Aaronson,25.44,30,24,1975,21.9,4,3,7,4,0,0,1,0,0.18,0.14,0.32,0.18,0.32,Milieu
Zach Abbott,19.88,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Tammy Abraham,28.49,8,1,202,2.2,1,0,1,1,0,0,0,0,0.45,0.0,0.45,0.45,0.45,Attaquant
Joshua Acheampong,19.9,12,7,573,6.4,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,Defenseur
Tyler Adams,27.12,18,18,1411,15.7,2,1,3,2,0,0,7,0,0.13,0.06,0.19,0.13,0.19,Milieu
Tosin Adarabioyo,28.51,15,7,750,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Simon Adingra,24.24,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,Milieu
Amine Adli,25.89,27,10,1040,11.6,3,1,4,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35,Milieu
Emmanuel Agbadou,28.78,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Defenseur
Nayef Aguerd,30.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Ola Aina,29.47,15,15,1320,14.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Rayan Aït-Nouri,24.81,13,10,779,8.7,0,2,2,0,0,0,2,0,0.0,0.23,0.23,0.0,0.23,Defenseur
Kristoffer Ajer,27.95,24,18,1628,18.1,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,Defenseur
Nathan Aké,31.11,14,4,495,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Carlos Alcaraz,23.33,16,6,675,7.5,0,1,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,Milieu
Omar Alderete,29.26,27,26,2354,26.2,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Defenseur
Alisson,33.49,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Max Alleyne,20.69,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Jaydon Amauri Banel,21.44,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Ethan Ampadu,25.54,28,28,2489,27.7,1,1,2,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Milieu
Joachim Andersen,29.83,28,28,2471,27.5,0,1,1,0,0,0,7,0,0.0,0.04,0.04,0.0,0.04,Defenseur
Elliot Anderson,23.39,31,31,2772,30.8,2,2,4,1,1,1,6,0,0.06,0.06,0.13,0.03,0.1,Milieu
André,24.7,28,23,2132,23.7,1,0,1,1,0,0,9,0,0.04,0.0,0.04,0.04,0.04,Milieu
Nilson Angulo,22.78,5,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Jaidon Anthony,26.33,30,25,2114,23.5,7,1,8,7,0,0,4,0,0.3,0.04,0.34,0.3,0.34,Milieu
Alphonse Areola,33.08,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,Gardien
Jhon Arias,28.52,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,Attaquant
Adam Armstrong,29.13,7,7,566,6.3,1,2,3,1,0,0,3,0,0.16,0.32,0.48,0.16,0.48,Attaquant
Harrison Armstrong,19.19,11,6,499,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Tolu Arokodare,25.35,27,12,1244,13.8,3,1,4,3,0,1,1,0,0.22,0.07,0.29,0.22,0.29,Attaquant
Taiwo Awoniyi,28.63,12,1,278,3.1,2,0,2,2,0,0,1,0,0.65,0.0,0.65,0.65,0.65,Attaquant
Yasin Ayari,22.48,24,18,1726,19.2,3,2,5,3,0,0,1,0,0.16,0.1,0.26,0.16,0.26,Milieu
Benoît Badiashile,25.01,8,6,471,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Leon Bailey,28.64,9,2,340,3.8,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26,Milieu
Dilane Bakwa,23.59,10,3,345,3.8,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26,Milieu
Carlos Baleba,22.24,25,19,1279,14.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Milieu
Daniel Ballard,26.52,26,22,2008,22.3,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09,Defenseur
Ross Barkley,32.31,14,2,402,4.5,2,0,2,2,0,0,0,0,0.45,0.0,0.45,0.45,0.45,Milieu
Ashley Barnes,36.41,6,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Harvey Barnes,28.3,30,17,1659,18.4,5,0,5,5,0,0,1,0,0.27,0.0,0.27,0.27,0.27,Attaquant
Thierno Barry,23.44,31,19,1640,18.2,6,0,6,6,0,0,3,0,0.33,0.0,0.33,0.33,0.33,Attaquant
Calvin Bassey,26.24,23,21,1904,21.2,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,Defenseur
Altay Bayındır,27.96,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
Jean-Ricner Bellegarde,27.76,22,13,1086,12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Milieu
Walter Benítez,33.19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
Rodrigo Bentancur,28.76,20,17,1410,15.7,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Milieu
Sander Berge,28.12,31,30,2590,28.8,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,Milieu
Lucas Bergvall,20.15,18,10,850,9.4,1,2,3,1,0,0,2,0,0.11,0.21,0.32,0.11,0.32,Milieu
