Squad,# Pl,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
nl vs Ajax,27,27.3,46.1,8,88,720,8.0,20,14,34,16,4,4,12,0,2.5,1.75,4.25,2.0,3.75
eng vs Arsenal,29,27.2,46.6,10,110,900,10.0,5,3,8,4,1,1,17,0,0.5,0.3,0.8,0.4,0.7
it vs Atalanta,25,26.4,51.5,12,132,1080,12.0,23,21,44,22,1,2,19,2,1.92,1.75,3.67,1.83,3.58
es vs Athletic Club,25,27.0,58.9,8,88,720,8.0,14,11,25,14,0,0,13,0,1.75,1.37,3.12,1.75,3.12
es vs Atlético Madrid,26,26.5,48.3,12,132,1080,12.0,23,18,41,22,1,1,28,0,1.92,1.5,3.42,1.83,3.33
es vs Barcelona,24,26.5,36.5,10,110,900,10.0,15,14,29,14,1,1,21,1,1.5,1.4,2.9,1.4,2.8
de vs Bayern Munich,25,26.4,39.1,10,110,900,10.0,9,7,16,9,0,0,13,2,0.9,0.7,1.6,0.9,1.6
pt vs Benfica,24,26.4,55.1,10,110,900,10.0,14,12,26,14,0,0,24,3,1.4,1.2,2.6,1.4,2.6
no vs Bodø/Glimt,22,26.8,54.2,12,132,1110,12.3,21,15,36,20,1,1,23,1,1.7,1.22,2.92,1.62,2.84
eng vs Chelsea,27,27.2,45.3,10,110,900,10.0,17,11,28,14,3,3,19,2,1.7,1.1,2.8,1.4,2.5
be vs Club Brugge,26,27.2,53.0,10,110,900,10.0,22,17,39,20,2,3,18,0,2.2,1.7,3.9,2.0,3.7
de vs Dortmund,22,27.0,46.4,10,110,900,10.0,20,12,32,19,1,1,13,2,2.0,1.2,3.2,1.9,3.1
de vs Eintracht Frankfurt,25,27.5,60.6,8,88,720,8.0,21,15,36,20,1,1,8,0,2.62,1.87,4.5,2.5,4.37
dk vs FC Copenhagen,22,26.6,60.3,8,88,720,8.0,20,14,34,18,2,3,17,1,2.5,1.75,4.25,2.25,4.0
kz vs FC Kairat,25,26.9,56.9,8,88,720,8.0,22,14,36,20,2,3,11,1,2.75,1.75,4.5,2.5,4.25
tr vs Galatasaray,23,26.6,49.8,12,132,1110,12.3,19,14,33,18,1,3,26,2,1.54,1.14,2.68,1.46,2.59
it vs Inter,22,26.6,42.6,10,110,900,10.0,12,8,20,11,1,1,11,0,1.2,0.8,2.0,1.1,1.9
it vs Juventus,24,27.3,52.3,10,110,930,10.3,17,11,28,15,2,3,14,0,1.65,1.06,2.71,1.45,2.52
de vs Leverkusen,26,26.7,47.8,12,132,1080,12.0,17,12,29,15,2,2,20,1,1.42,1.0,2.42,1.25,2.25
eng vs Liverpool,23,27.9,44.6,10,110,900,10.0,9,6,15,7,2,2,19,0,0.9,0.6,1.5,0.7,1.3
eng vs Manchester City,26,27.1,41.3,10,110,900,10.0,14,11,25,12,2,3,15,1,1.4,1.1,2.5,1.2,2.3
fr vs Marseille,24,26.4,44.6,8,88,720,8.0,13,8,21,11,2,3,19,1,1.62,1.0,2.62,1.37,2.37
fr vs Monaco,28,26.6,58.6,10,110,900,10.0,17,14,31,17,0,1,16,1,1.7,1.4,3.1,1.7,3.1
it vs Napoli,24,26.3,48.4,8,88,720,8.0,14,10,24,12,2,3,11,1,1.75,1.25,3.0,1.5,2.75
eng vs Newcastle United,25,26.4,50.9,12,132,1080,12.0,17,12,29,15,2,4,25,0,1.42,1.0,2.42,1.25,2.25
gr vs Olympiacos,24,26.8,56.9,10,110,900,10.0,16,12,28,14,2,2,13,1,1.6,1.2,2.8,1.4,2.6
cy vs Pafos FC,20,27.2,62.9,8,88,720,8.0,11,7,18,11,0,0,15,1,1.37,0.87,2.25,1.37,2.25
fr vs Paris Saint-Germain,22,26.2,32.7,12,132,1080,12.0,17,11,28,16,1,2,24,4,1.42,0.92,2.33,1.33,2.25
nl vs PSV,21,27.1,48.3,8,88,720,8.0,16,11,27,15,1,1,10,1,2.0,1.37,3.38,1.87,3.25
az vs Qarabağ,21,26.6,55.4,10,110,900,10.0,29,19,48,26,3,4,10,0,2.9,1.9,4.8,2.6,4.5
es vs Real Madrid,30,26.8,44.1,12,132,1080,12.0,14,8,22,12,2,2,19,1,1.17,0.67,1.83,1.0,1.67
cz vs Slavia Prague,23,27.4,53.5,8,88,720,8.0,18,9,27,15,3,4,20,0,2.25,1.13,3.38,1.87,3.0
pt vs Sporting CP,29,27.3,49.3,10,110,930,10.3,14,10,24,13,1,1,25,1,1.35,0.97,2.32,1.26,2.23
eng vs Tottenham Hotspur,27,26.7,50.1,10,110,900,10.0,14,9,23,13,1,2,16,2,1.4,0.9,2.3,1.3,2.2
be vs Union SG,21,27.9,64.9,8,88,720,8.0,17,9,26,13,4,5,15,2,2.12,1.13,3.25,1.62,2.75
es vs Villarreal,25,26.7,57.8,8,88,720,8.0,17,11,28,17,0,2,15,0,2.12,1.37,3.5,2.12,3.5
